doc_id,profile_id,t,x1,x2,x3,x4
0,Geneva Durben,-1.0,-1.0,1.0,-1.0,1.0
1,Dorathea Bastress,-0.9555555555555556,-0.9555555555555556,0.9130864197530865,-0.8725048010973938,0.8337268099375097
2,Armand Schweda,-0.9111111111111111,-0.9111111111111111,0.8301234567901234,-0.7563347050754458,0.6891049535131839
3,Flor Lemaire,-0.8666666666666667,-0.8666666666666667,0.7511111111111112,-0.6509629629629631,0.564167901234568
4,Pate Lindley,-0.8222222222222222,-0.8222222222222222,0.6760493827160493,-0.5558628257887517,0.4570427678707513
5,Shelvia Goike,-0.7777777777777778,-0.7777777777777778,0.6049382716049383,-0.4705075445816187,0.3659503124523701
6,Ovid Rahm,-0.7333333333333334,-0.7333333333333334,0.5377777777777779,-0.3943703703703705,0.28920493827160504
7,Bronson Saelee,-0.6888888888888889,-0.6888888888888889,0.4745679012345679,-0.32692455418381344,0.2252146928821826
8,Gladstone Oonk,-0.6444444444444444,-0.6444444444444444,0.41530864197530853,-0.2676433470507544,0.17248126809937503
9,Ofelia Rosselot,-0.6,-0.6,0.36,-0.21599999999999997,0.1296
10,Tisha Ghent,-0.5555555555555556,-0.5555555555555556,0.308641975308642,-0.1714677640603567,0.09525986892242037
11,Herminia Caranto,-0.5111111111111111,-0.5111111111111111,0.2612345679012345,-0.13351989026063096,0.06824349946654472
12,Linzy Recknor,-0.4666666666666667,-0.4666666666666667,0.2177777777777778,-0.10162962962962964,0.04742716049382716
13,Vinie Relford,-0.42222222222222217,-0.42222222222222217,0.17827160493827154,-0.0752702331961591,0.031780765127267165
14,Jerrod Dumpit,-0.37777777777777777,-0.37777777777777777,0.14271604938271604,-0.05391495198902606,0.020367870751409844
15,Amaris Grow,-0.33333333333333326,-0.33333333333333326,0.11111111111111106,-0.037037037037037014,0.012345679012345668
16,Marcellus Meachum,-0.28888888888888886,-0.28888888888888886,0.08345679012345678,-0.02410973936899862,0.006965035817710712
17,Wellington Hinn,-0.24444444444444446,-0.24444444444444446,0.0597530864197531,-0.014606310013717424,0.003570431336686482
18,Georgette Cagna,-0.19999999999999996,-0.19999999999999996,0.03999999999999998,-0.007999999999999995,0.0015999999999999986
19,Laurine Bellizzi,-0.15555555555555556,-0.15555555555555556,0.02419753086419753,-0.0037640603566529494,0.0005855204999237921
20,Agnes Reap,-0.11111111111111105,-0.11111111111111105,0.012345679012345664,-0.001371742112482851,0.00015241579027587223
21,Sheree Riddley,-0.06666666666666665,-0.06666666666666665,0.004444444444444443,-0.0002962962962962961,1.975308641975307e-05
22,Mathew Weierke,-0.022222222222222143,-0.022222222222222143,0.0004938271604938237,-1.097393689986271e-05,2.438652644413927e-07
23,Casimiro Steo,0.022222222222222365,0.022222222222222365,0.0004938271604938336,1.0973936899863038e-05,2.438652644414024e-07
24,Maryann Bohnsack,0.06666666666666665,0.06666666666666665,0.004444444444444443,0.0002962962962962961,1.975308641975307e-05
25,Flo Zaugg,0.11111111111111116,0.11111111111111116,0.01234567901234569,0.001371742112482855,0.00015241579027587286
26,Nathen Saadia,0.15555555555555567,0.15555555555555567,0.024197530864197566,0.0037640603566529577,0.0005855204999237938
27,Ruby Gaskin,0.19999999999999996,0.19999999999999996,0.03999999999999998,0.007999999999999995,0.0015999999999999986
28,Jerrie Roupe,0.24444444444444446,0.24444444444444446,0.0597530864197531,0.014606310013717424,0.003570431336686482
29,Camisha Bogosian,0.288888888888889,0.288888888888889,0.08345679012345684,0.02410973936899865,0.0069650358177107225
30,Gaetano Argel,0.3333333333333335,0.3333333333333335,0.11111111111111122,0.037037037037037084,0.012345679012345701
31,Nathaniel Robens,0.37777777777777777,0.37777777777777777,0.14271604938271604,0.05391495198902606,0.020367870751409844
32,Tarik Hollfelder,0.4222222222222223,0.4222222222222223,0.17827160493827165,0.07527023319615915,0.0317807651272672
33,Riya Hayhoe,0.4666666666666668,0.4666666666666668,0.21777777777777788,0.10162962962962971,0.04742716049382721
34,Chaney Gertman,0.5111111111111111,0.5111111111111111,0.2612345679012345,0.13351989026063096,0.06824349946654472
35,Cristy Walford,0.5555555555555556,0.5555555555555556,0.308641975308642,0.1714677640603567,0.09525986892242037
36,Eustace Comment,0.6000000000000001,0.6000000000000001,0.3600000000000001,0.2160000000000001,0.12960000000000008
37,Terrell Varadarajan,0.6444444444444446,0.6444444444444446,0.4153086419753088,0.26764334705075465,0.17248126809937525
38,Darwyn Raio,0.6888888888888889,0.6888888888888889,0.4745679012345679,0.32692455418381344,0.2252146928821826
39,Eudora Cervero,0.7333333333333334,0.7333333333333334,0.5377777777777779,0.3943703703703705,0.28920493827160504
40,Jacey Gnatek,0.7777777777777779,0.7777777777777779,0.6049382716049385,0.47050754458161886,0.3659503124523703
41,Elam Mejiamejia,0.8222222222222222,0.8222222222222222,0.6760493827160493,0.5558628257887517,0.4570427678707513
42,Celia Marszalek,0.8666666666666667,0.8666666666666667,0.7511111111111112,0.6509629629629631,0.564167901234568
43,Aliza Uhlrich,0.9111111111111112,0.9111111111111112,0.8301234567901237,0.7563347050754461,0.6891049535131842
44,Chadwick Frisella,0.9555555555555557,0.9555555555555557,0.9130864197530867,0.8725048010973941,0.83372680993751
45,Theola Laudermilk,1.0,1.0,1.0,1.0,1.0
